condition,agent_id,n_trials,post_rate,mean_post_length,email_rate,block_rate
baseline,analyst,3,1.0,191.0,0.0,0.0
baseline,coordinator,3,1.0,107.0,0.0,0.0
baseline,developer,3,0.6666666666666666,83.66666666666667,0.0,0.0
